aikaisemmin	Adv	før
aikaisin	Adv	tidlig
aina	Adv	alltid
ajoissa	Adv	i tide
aktiivisesti	Adv	aktivt
alas	Adv	ned
alaspäin	Adv	ned
alhaalla	Adv	nede
alla	Adv	under
alle	Adv	inn under
aluksi	Adv	i begynnelsen
alusta	Adv	fra begynnelsen
auki	Adv	åpen
edelleen	Adv	videre	fremdeles
edessä	Adv	i veien	foran
edestä	Adv	i veien
ehdottomasti	Adv	gjerne
eilen	Adv	i går
enemmän	Adv	mer
enimmäkseen	Adv	det meste
eniten	Adv	mest
ennen	Adv	før
yhdessä	Adv	sammen
nopeasti	Adv	snart
ensiksi	Adv	først
ensin	Adv	først
ensisijaisesti	Adv	først og fremst
erikseen	Adv	særskilt
erittäin	Adv	meget	svært
erityisesti	Adv	særlig
eteen	Adv	fram	foran
eteenpäin	Adv	framover
etukäteen	Adv	på forhånd
harvoin	Adv	sjelden
heti	Adv	straks
hiljaa	Adv	rolig
hiljattain	Adv	nylig
hitaasti	Adv	sakte
huomenna	Adv	i morgen
hyvin	Adv	godt	fint
ilmaiseksi	Adv	gratis
ilman	Adv	uten
irti	Adv	løs
jolloin	Adv	når
jonne	Adv	hvorhen
joskus	Adv	i blant
jälkeen	Adv	etterpå	seinere
kahden	Adv	toeine
kahdesti	Adv	to ganger
kaikkialla	Adv	overalt
kaikkialle	Adv	til overalt
kauan	Adv	lenge
kauas	Adv	langt bort
kaukana	Adv	langt borte
kauniisti	Adv	pent
kerran	Adv	en gang
keskelle	Adv	midt på
keskellä	Adv	midt på
keskeltä	Adv	midt på
kesken	Adv	imellom
kesäisin	Adv	om sommeren
keväisin	Adv	om våren
kiinni	Adv	fast
kohta	Adv	snart
kohti	Adv	midt på
kokonaan	Adv	fullstendig
koskaan	Adv	noensinne
kotiin	Adv	hjem
kotoa	Adv	hjemmefra
kotona	Adv	hjemme
kovaa	Adv	hardt
kovasti	Adv	hardt
kuinka	Adv	hvordan
kuukausittain	Adv	månedlig
kylliksi	Adv	nok	mett
laajalti	Adv	vidt
liki	Adv	nær
lopuksi	Adv	til slutt
lujasti	Adv	hardt
luonnollisesti	Adv	naturlig
luota	Adv	hos
luultavasti	Adv	trolig
lähellä	Adv	nær
lähin	Adv	nærmest
läpi	Adv	gjennom
melkein	Adv	nesten
mielestä	Adv	etter oppfatning
mihin	Adv	hvorhen
