olla	V	være
ei	V	ikke
saada	V	få
voida	V	kunne
tulla	V	komme
käyttää	V	bruke
tehdä	V	arbeide
pitää	V	skulle
kuulua	V	høres
alkaa	V	begynne
toimia	V	fungere
vastata	V	svare
sijaita	V	stelle
tuntea	V	kjenne
perustaa	V	grunnlegge
ottaa	V	ta
johtaa	V	lede
syntyä	V	fødes
kuolla	V	dø
rakentaa	V	bygge
antaa	V	gi
tarkoittaa	V	mene	bety
seurata	V	følge
merkitä	V	merke
elää	V	leve
muodostaa	V	lage	forme
saattaa	V	kunne
esittää	V	fremme	presentere
valita	V	velge
jäädä	V	bli igjen
kirjoittaa	V	skrive
nähdä	V	se
kutsua	V	kalle
liittyä	V	knytte
kasvaa	V	vokse
tapahtua	V	hende
nousta	V	heve seg
vaikuttaa	V	være
muuttaa	V	forandre
käydä	V	gå
sanoa	V	lese
aiheuttaa	V	forårsake
joutua	V	havne
sisältää	V	inneholde
järjestää	V	organisere
aloittaa	V	få i gang
esiintyä	V	finnes
pyrkiä	V	streve etter
jakaa	V	dele
katsoa	V	titte
asua	V	bo
kertoa	V	fortelle
kehittää	V	utvikle
tuottaa	V	produsere
voittaa	V	vinne
päästä	V	fritas
suunnitella	V	planlegge
haluta	V	ville
hallita	V	rå over
lähteä	V	dra
vaatia	V	kreve
kulkea	V	vandre
löytää	V	finne
kuvata	V	fotografere	skildre
laskea	V	regne
osallistua	V	delta
puhua	V	snakke
päättää	V	bestemme
tuoda	V	bringe
tukea	V	støtte
jatkaa	V	fortsette
kehittyä	V	utvikle seg
periä	V	arve
pelata	V	spille
saavuttaa	V	innhente
tutkia	V	undersøke
tarvita	V	behøve
valmistaa	V	lage
muuttua	V	forandre seg
lähettää	V	sende
yhdistää	V	forene
ajaa	V	kjøre
arvioida	V	evaluere
hyväksyä	V	godta
valmistua	V	bli ferdig
näkyä	V	synes
ilmestyä	V	utkomme
mennä	V	gå	dra
nimittää	V	nevne
lisätä	V	legge til
yrittää	V	prøve
vaihdella	V	skifte
koostua	V	samles
erottaa	V	differensiere	skille
kestää	V	vare
ilmoittaa	V	publisere	erklære
määritellä	V	definere
pystyä	V	greie
saapua	V	ankomme
suorittaa	V	gjennomføre
myydä	V	selge
pysyä	V	forbli
havaita	V	oppdage
osoittaa	V	markere
lukea	V	lese
käsitellä	V	bearbeide	behandle
siirtää	V	flytte
päättyä	V	ta slutt
säilyä	V	bevares
vallata	V	ta	erobre
uskoa	V	tro
mainita	V	nevne
edustaa	V	forestå	representer
jättää	V	forlate
onnistua	V	lykkes
tavata	V	møtes
erota	V	skilles
nimetä	V	nevne
jatkua	V	fortsettes
löytyä	V	finnes
viedä	V	bringe bort
kärsiä	V	tåle	lide
tarjota	V	tilby
menettää	V	miste
muistuttaa	V	påminne
koskea	V	komme bort i
keskittyä	V	samles
näyttää	V	vise
toteuttaa	V	gjennomføre
levitä	V	bre seg
vastustaa	V	protestere
kieltää	V	gi avslag	forby
palata	V	snu	vende tilbake
syödä	V	spise
estää	V	hindre
määrätä	V	bestemme
väittää	V	hevde
johtua	V	komme	havne
julistaa	V	publisere
asettaa	V	etablere
työskennellä	V	arbeide
myöntää	V	bifalle	innrømmæ
aleta	V	resignere
huomata	V	oppdage
huolia	V	bry seg om
todeta	V	finne ut
yhdistyä	V	forenes
tietää	V	vite
soittaa	V	ringe
kokea	V	erfare
lopettaa	V	slutte
hoitaa	V	stelle
nostaa	V	løfte
viitata	V	markere
